Sede,Documento de identidad,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada,Grupo Asignatura
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,3.0,Ciencias Sociales,92,92,89,90.0,91.2,Lengua y Humanidades
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,5.0,Matemáticas,89,90,84,95.0,88.9,Ciencias y Matemáticas
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,3.0,Lengua Castellana,87,86,95,100.0,89.60000000000001,Lengua y Humanidades
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,2.0,Lectura Crítica,82,82,90,90.0,84.4,Lengua y Humanidades
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,4.0,English,86,86,100,100.0,90.2,Lengua y Humanidades
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,3.0,Educación Física,89,89,93,92.0,90.10000000000001,Artes y Educación Física
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,1.0,Creatividad e innovación,89,90,90,94.0,90.0,Tecnología e Innovación
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,2.0,Aprendizaje Basado en Proyectos,91,93,90,95.0,91.8,Proyectos y Aprendizaje Integral
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,1.0,Artes,92,93,89,89.0,91.4,Artes y Educación Física
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,1.0,Tecnologías Informáticas,87,92,80,97.0,88.10000000000001,Tecnología e Innovación
Fusagasugá,2c90aedd3c993dd8d10f2b8a5c89aec9d40a0c0c46960731005201d9a9c7be2b,1,A,II,2024,1.0,Integralidad,99,99,100,100.0,99.3,Proyectos y Aprendizaje Integral
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,3.0,Ciencias Naturales,51,45,75,60.0,54.900000000000006,Ciencias y Matemáticas
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,4.0,Ciencias Sociales,78,53,80,94.0,72.5,Lengua y Humanidades
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,6.0,Matemáticas,60,60,90,85.0,68.5,Ciencias y Matemáticas
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,3.0,Lengua Castellana,67,70,85,95.0,74.3,Lengua y Humanidades
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,4.0,Inglés,66,63,92,91.0,72.8,Lengua y Humanidades
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,2.0,Innovación y Emprendimiento,94,93,95,98.0,94.3,Tecnología e Innovación
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,7.0,Aprendizaje Basado en Investigación,87,87,86,85.0,86.60000000000001,Proyectos y Aprendizaje Integral
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,3.0,Educación Física,89,89,90,90.0,89.3,Artes y Educación Física
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,2.0,Lectura Crítica,89,72,80,89.0,82.10000000000001,Lengua y Humanidades
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,1.0,Artes,91,91,90,90.0,90.7,Artes y Educación Física
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,1.0,Robótica y TICS,80,80,80,90.0,81.0,Tecnología e Innovación
Fusagasugá,d9afb0fec8a67cce2ca6a60f20a88e780ad87b38226a526b8039459973af32f9,7,A,II,2023,1.0,Inteligencia emocional e Integralidad,83,90,100,100.0,90.2,Proyectos y Aprendizaje Integral
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,3.0,Ciencias Naturales,54,54,94,90.0,65.6,Ciencias y Matemáticas
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,4.0,Ciencias Sociales,62,46,60,92.0,59.800000000000004,Lengua y Humanidades
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,6.0,Matemáticas,65,66,85,90.0,71.8,Ciencias y Matemáticas
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,3.0,Lengua Castellana,67,69,85,90.0,73.5,Lengua y Humanidades
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,4.0,Inglés,63,65,92,90.0,72.10000000000001,Lengua y Humanidades
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,2.0,Innovación y Emprendimiento,81,81,80,95.0,82.2,Tecnología e Innovación
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,7.0,Aprendizaje Basado en Investigación,61,64,62,73.0,63.3,Proyectos y Aprendizaje Integral
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,3.0,Educación Física,77,81,85,80.0,80.1,Artes y Educación Física
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,2.0,Lectura Crítica,66,69,60,95.0,68.6,Lengua y Humanidades
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,1.0,Artes,82,85,85,80.0,83.30000000000001,Artes y Educación Física
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,1.0,Robótica y TICS,83,90,80,90.0,85.2,Tecnología e Innovación
Fusagasugá,7d39e93056b3ae55d75f8e7afcfc37889c47e3cb8b9af7f27e500e99d687d468,7,A,I,2023,1.0,Inteligencia emocional e Integralidad,93,97,100,90.0,95.3,Proyectos y Aprendizaje Integral
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,3.0,Ciencias Naturales,76,75,90,90.0,79.9,Ciencias y Matemáticas
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,3.0,Ciencias Sociales,84,84,96,97.0,87.7,Lengua y Humanidades
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,5.0,Matemáticas,80,80,97,97.0,85.10000000000001,Ciencias y Matemáticas
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,4.0,Lengua Castellana,78,68,88,95.0,78.7,Lengua y Humanidades
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,4.0,Inglés,69,66,85,95.0,73.9,Lengua y Humanidades
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,2.0,Creatividad e Innovación,90,89,90,90.0,89.7,Tecnología e Innovación
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,91,92,88,98.0,91.39999999999999,Proyectos y Aprendizaje Integral
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,3.0,Educación Física,91,91,100,100.0,93.7,Artes y Educación Física
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,2.0,Lectura Crítica,89,89,90,95.0,89.8,Lengua y Humanidades
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,1.0,Artes,94,90,90,85.0,91.1,Artes y Educación Física
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,1.0,Robótica y TICS,82,93,85,90.0,86.7,Tecnología e Innovación
Fusagasugá,677f82129e63508fd4238801794841a203b4ac959e40655741a496e92fa9ab2c,3,A,IV,2023,1.0,Inteligencia emocional e Integralidad,97,94,100,100.0,97.0,Proyectos y Aprendizaje Integral
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,5.0,Ciencias Naturales,70,68,45,45.0,61.9,Ciencias y Matemáticas
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,2.0,Ciencias Políticas y Económicas,83,81,50,89.0,76.4,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,2.0,Filosofía,82,83,100,70.0,84.7,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,6.0,Trigonometría,81,82,60,60.0,75.0,Ciencias y Matemáticas
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,4.0,Lengua Castellana,84,85,75,90.0,83.1,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,4.0,Inglés,63,65,75,70.0,66.7,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,2.0,Francés,77,78,70,65.0,74.7,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,1.0,Educación Ambiental,87,84,87,90.0,86.4,Artes y Educación Física
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,3.0,Proyecto de inversión,80,78,75,85.0,78.9,Proyectos y Aprendizaje Integral
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,2.0,Educación Física,79,79,80,85.0,79.8,Artes y Educación Física
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,2.0,Lectura Crítica,86,86,75,83.0,83.5,Lengua y Humanidades
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,1.0,Artes,87,91,95,95.0,90.60000000000001,Artes y Educación Física
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,1.0,Robótica y TICS,80,78,80,85.0,79.9,Tecnología e Innovación
Fusagasugá,c2f85f7c124efc95317e537cc1f79d22fa6ff2dfa157810bb2d06878a3b53404,10,A,II,2023,1.0,Inteligencia emocional e Integralidad,80,91,85,80.0,84.3,Proyectos y Aprendizaje Integral
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,3.0,Ciencias Naturales,83,84,99,99.0,88.10000000000001,Ciencias y Matemáticas
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,4.0,Ciencias Sociales,90,89,100,100.0,92.7,Lengua y Humanidades
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,5.0,Matemáticas,95,96,96,96.0,95.6,Ciencias y Matemáticas
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,3.0,Lengua Castellana,89,89,95,100.0,91.3,Lengua y Humanidades
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,4.0,Inglés,70,74,100,100.0,80.2,Lengua y Humanidades
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,2.0,Creatividad e Innovación,94,94,90,90.0,92.8,Tecnología e Innovación
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,95,96,94,96.0,95.19999999999999,Proyectos y Aprendizaje Integral
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,3.0,Educación Física,92,94,95,95.0,93.5,Artes y Educación Física
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,2.0,Lectura Crítica,95,96,95,100.0,95.8,Lengua y Humanidades
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,1.0,Artes,97,97,98,98.0,97.3,Artes y Educación Física
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,1.0,Robótica y TICS,92,90,80,90.0,88.80000000000001,Tecnología e Innovación
Fusagasugá,cceb7a6f4be57229dd381bd303358d770641145f7d3ab8bbeef8e6ff4ff95be0,4,A,IV,2023,1.0,Inteligencia emocional e Integralidad,99,99,100,100.0,99.3,Proyectos y Aprendizaje Integral
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,4.0,Ciencias Naturales,73,73,90,88.0,77.89999999999999,Ciencias y Matemáticas
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,3.0,Ciencias Sociales,81,81,90,90.0,83.7,Lengua y Humanidades
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,5.0,Matemáticas,64,66,95,95.0,73.9,Ciencias y Matemáticas
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,3.0,Lengua Castellana,70,70,80,90.0,74.0,Lengua y Humanidades
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,2.0,Lectura Crítica,80,81,80,88.0,81.1,Lengua y Humanidades
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,4.0,English,70,70,90,88.0,75.8,Lengua y Humanidades
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,3.0,Educación Física,93,93,97,100.0,94.5,Artes y Educación Física
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,1.0,Creatividad e innovación,88,86,95,95.0,89.5,Tecnología e Innovación
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,2.0,Aprendizaje Basado en Proyectos,89,95,96,97.0,93.0,Proyectos y Aprendizaje Integral
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,1.0,Artes,96,75,95,95.0,89.4,Artes y Educación Física
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,1.0,Tecnologías Informáticas,100,96,100,100.0,98.8,Tecnología e Innovación
Girardot,1781255dcd7256156ee73ce98770fbdb47a0f86721d0ea3e4211766b6ed33598,3,A,II,2024,1.0,Integralidad,76,61,80,90.0,73.7,Proyectos y Aprendizaje Integral
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,3.0,Ciencias Naturales,89,89,90,90.0,89.3,Ciencias y Matemáticas
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,3.0,Ciencias Sociales,95,95,94,94.0,94.7,Lengua y Humanidades
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,5.0,Matemáticas,88,89,90,95.0,89.4,Ciencias y Matemáticas
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,4.0,Lengua Castellana,89,89,90,88.0,89.1,Lengua y Humanidades
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,4.0,Inglés,74,75,82,80.0,76.5,Lengua y Humanidades
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,2.0,Creatividad e Innovación,91,89,94,94.0,91.3,Tecnología e Innovación
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,93,92,95,95.0,93.3,Proyectos y Aprendizaje Integral
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,3.0,Educación Física,90,90,89,89.0,89.7,Artes y Educación Física
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,2.0,Lectura Crítica,90,86,90,90.0,88.8,Lengua y Humanidades
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,1.0,Artes,94,91,91,93.0,92.4,Artes y Educación Física
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,1.0,Robótica y TICS,97,93,90,100.0,94.7,Tecnología e Innovación
Girardot,ab1984d7432735019956a269fa09faa35dfe1c45e8430da8e082fd32af600685,2,A,IV,2023,1.0,Inteligencia emocional e Integralidad,89,89,90,92.0,89.5,Proyectos y Aprendizaje Integral
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,3.0,Ciencias Naturales,79,77,85,90.0,80.7,Ciencias y Matemáticas
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,4.0,Ciencias Sociales,81,80,84,86.0,81.8,Lengua y Humanidades
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,6.0,Matemáticas,78,86,80,90.0,82.0,Ciencias y Matemáticas
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,3.0,Lengua Castellana,71,79,83,83.0,77.0,Lengua y Humanidades
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,4.0,Inglés,75,74,80,87.0,76.9,Lengua y Humanidades
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,2.0,Innovación y Emprendimiento,87,87,90,90.0,87.9,Tecnología e Innovación
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,96,96,100,100.0,97.2,Proyectos y Aprendizaje Integral
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,3.0,Educación Física,92,93,90,97.0,92.4,Artes y Educación Física
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,2.0,Lectura Crítica,81,81,83,83.0,81.60000000000001,Lengua y Humanidades
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,1.0,Artes,90,90,90,90.0,90.0,Artes y Educación Física
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,1.0,Robótica y TICS,89,85,80,90.0,86.1,Tecnología e Innovación
Girardot,b305e007d0259ddf371f996add5f4ccc4af0e5c33a7926c1b3df286581de8639,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,86,90,90,90.0,88.4,Proyectos y Aprendizaje Integral
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,3.0,Ciencias Naturales,87,87,97,96.0,89.9,Ciencias y Matemáticas
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,4.0,Ciencias Sociales,93,93,100,94.0,94.5,Lengua y Humanidades
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,6.0,Matemáticas,79,79,90,90.0,82.3,Ciencias y Matemáticas
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,3.0,Lengua Castellana,91,91,90,90.0,90.7,Lengua y Humanidades
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,4.0,Inglés,83,85,97,100.0,88.10000000000001,Lengua y Humanidades
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,2.0,Innovación y Emprendimiento,92,90,90,100.0,91.80000000000001,Tecnología e Innovación
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,7.0,Aprendizaje Basado en Investigación,89,90,87,90.0,89.0,Proyectos y Aprendizaje Integral
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,3.0,Educación Física,94,93,97,97.0,94.60000000000001,Artes y Educación Física
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,2.0,Lectura Crítica,97,96,95,95.0,96.1,Lengua y Humanidades
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,1.0,Artes,94,87,90,90.0,90.7,Artes y Educación Física
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,1.0,Robótica y TICS,83,90,80,90.0,85.2,Tecnología e Innovación
Fusagasugá,cfe7783701354a9eb3b59deb05aad1a93702ba61722e71d56007378cf04f11d8,6,A,I,2023,1.0,Inteligencia emocional e Integralidad,97,90,100,95.0,95.30000000000001,Proyectos y Aprendizaje Integral
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,4.0,Ciencias Naturales,95,97,92,94.0,94.9,Ciencias y Matemáticas
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,3.0,Ciencias Sociales,97,97,93,96.0,96.1,Lengua y Humanidades
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,5.0,Matemáticas,93,94,90,90.0,92.4,Ciencias y Matemáticas
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,3.0,Lengua Castellana,97,95,95,95.0,95.80000000000001,Lengua y Humanidades
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,2.0,Lectura Crítica,95,95,94,94.0,94.7,Lengua y Humanidades
Fusagasugá,b177d62c19deedfba04fe1f3a822323431e61c4aafb57f3012e7b8c0a302621f,2,A,II,2024,4.0,English,99,98,95,95.0,97.5,Lengua y Humanidades
